# source: Binance public market data (BTCUSDT 4h)
# url: https://data-api.binance.vision/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=1000
# downloaded_at: 2026-09-21
# license: Public API; data provided as-is by Binance
date,open,high,low,close,volume
2026-04-30T04:00,75928.09000000,76179.91000000,75323.65000000,76161.67000000,1807.58096000
2026-04-30T08:00,76161.67000000,76339.38000000,75876.29000000,76059.43000000,1712.03014000
2026-04-30T12:00,76059.42000000,76669.14000000,76042.75000000,76473.60000000,3506.19966000
2026-04-30T16:00,76473.60000000,76514.80000000,76111.00000000,76412.80000000,930.96663000
2026-04-30T20:00,76412.80000000,76568.90000000,76206.02000000,76346.57000000,811.59342000
2026-05-01T00:00,76346.58000000,77453.74000000,76320.42000000,77131.08000000,2250.38749000
2026-05-01T04:00,77131.08000000,77206.38000000,76653.60000000,77130.54000000,2352.39487000
2026-05-01T08:00,77130.54000000,77600.00000000,77048.00000000,77463.98000000,1968.27324000
2026-05-01T12:00,77463.98000000,78914.12000000,77408.73000000,78445.89000000,6731.19551000
2026-05-01T16:00,78445.88000000,78683.23000000,78131.02000000,78360.00000000,2194.42574000
2026-05-01T20:00,78360.01000000,78422.81000000,77752.00000000,78231.13000000,1818.78817000
2026-05-02T00:00,78231.13000000,78514.82000000,78166.48000000,78400.00000000,1196.13639000
2026-05-02T04:00,78399.99000000,78448.99000000,78040.00000000,78220.00000000,1475.03871000
2026-05-02T08:00,78220.00000000,78394.00000000,78094.43000000,78143.08000000,868.13230000
2026-05-02T12:00,78143.09000000,78487.68000000,78108.41000000,78487.67000000,726.08154000
2026-05-02T16:00,78487.67000000,78596.61000000,78310.54000000,78486.00000000,708.03792000
2026-05-02T20:00,78486.23000000,79199.48000000,78418.32000000,78686.85000000,1177.44956000
2026-05-03T00:00,78686.84000000,78754.55000000,78108.75000000,78203.08000000,1047.76325000
2026-05-03T04:00,78203.07000000,78483.67000000,78084.08000000,78363.25000000,794.16967000
2026-05-03T08:00,78363.24000000,78849.22000000,78354.53000000,78656.01000000,948.77514000
2026-05-03T12:00,78656.01000000,78878.77000000,78586.99000000,78668.36000000,1137.85630000
